,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Country Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Austria,8.25879,8.724641,8.905298,9.528478,9.50555,9.611116,9.288097,8.932471,8.8294735,8.065431,8.608196,8.328273,7.9788394,7.9900355,7.5066957,7.676675,7.692596,7.9100146,7.5281963,7.6508217,6.9692774,7.3332305,6.7833743,6.4156914
Belgium,12.361151,12.2549715,12.277541,12.35981,12.357553,11.989789,11.744313,11.338885,11.2215605,9.967704,10.468463,9.520928,9.222086,9.207796,8.655899,8.981999,8.801214,8.718966,8.763846,8.675265,7.9053254,8.200449,7.645034,7.117667
Brazil,1.9548694,1.9634919,1.9482254,1.9080936,1.9785614,1.9728992,1.9762384,2.0714304,2.1675887,2.0292332,2.2729201,2.3687463,2.531079,2.6825,2.7883182,2.6247756,2.4247248,2.4340892,2.3210201,2.2818863,2.1336446,2.3765984,2.3006458,2.3040087
Bulgaria,5.6986227,6.195066,5.8809166,6.481842,6.403607,6.586686,6.7957735,7.3482966,7.1804595,6.121364,6.4402747,7.209333,6.6094265,5.881424,6.264526,6.71595,6.3724623,6.716077,6.203349,6.059446,5.2849827,6.168928,6.880554,5.311159
China,2.8743546,2.9158025,3.1884,3.7397096,4.0068736,4.4900646,4.927211,5.2673674,5.624066,5.8777986,6.378234,7.0077763,7.140667,7.219921,7.19784,7.0648346,6.953239,7.084865,7.2818375,7.5264,7.6471825,8.025529,7.9642863,8.366814
Croatia,4.542717,4.8304224,5.089909,5.393333,5.302609,5.4006186,5.444902,5.747201,5.451251,5.0472794,4.8792157,4.816974,4.4741144,4.3385963,4.1846795,4.255293,4.373323,4.588917,4.3982973,4.472849,4.2695465,4.4362836,4.506801,4.4979396
Cyprus,7.4943624,7.235596,7.302579,7.560289,7.6499705,7.680499,7.7633595,7.9278345,7.9894676,7.6360445,7.1839247,6.7936635,6.2330227,5.561163,5.784701,5.7177787,5.961425,5.9836025,5.7627444,5.70792,5.3867984,5.4431973,5.4060793,5.3340764
Czechia,12.429278,12.426236,12.106857,12.447365,12.502303,12.226549,12.279678,12.4175,11.845384,11.033749,11.226669,10.975093,10.5913925,10.153251,9.911937,9.976885,10.126182,10.221263,10.080216,9.569877,8.689349,9.1774845,8.910881,7.921035
Denmark,10.168435,10.428804,10.331989,11.24873,10.193713,9.507631,10.941255,10.015056,9.327979,8.8427105,8.864574,7.9389625,7.1269546,7.4359493,6.655955,6.175978,6.4427915,6.0106626,5.9721694,5.321383,4.8519073,5.0518436,4.8165383,4.583753
Egypt,1.9681114,1.7100209,1.6940774,1.9256591,1.9197359,2.0741644,2.166787,2.2403119,2.3027802,2.3597033,2.2826967,2.381271,2.2942379,2.217675,2.326489,2.253873,2.3550923,2.5138397,2.35818,2.405709,2.15302,2.351684,2.4078562,2.3486655
Estonia,11.074382,11.43219,11.133484,12.583943,12.711765,12.613808,12.2046,14.865636,13.323685,10.794065,14.243671,14.274907,13.429003,14.8975725,14.290286,12.003538,13.248405,14.130547,13.465262,9.261309,6.9176736,7.802324,8.708426,7.3279576
Ethiopia,0.05136891,0.06137175,0.06186438,0.06596311,0.06780678,0.06324217,0.06589773,0.07026919,0.0750213,0.073328234,0.070071824,0.07954707,0.08411424,0.099950224,0.1154268,0.12226406,0.13582073,0.13471705,0.14012076,0.14892076,0.1332845,0.13231501,0.12088373,0.11832265
Finland,11.015227,12.051142,12.508103,13.937968,13.187471,10.877449,12.98325,12.623858,11.033464,10.474156,11.950002,10.513088,9.44869,9.508816,8.719286,8.064649,8.598174,8.107075,8.291555,7.6863246,6.817832,6.821429,6.5299063,5.6455913
France,6.8277373,6.8515906,6.7290745,6.7823057,6.7573004,6.7471786,6.5456576,6.3430223,6.1977158,5.876987,5.936185,5.560235,5.5642834,5.5709805,5.0522456,5.106422,5.1346755,5.1635537,4.9136443,4.792605,4.255957,4.6245584,4.428381,4.101154
