,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Country Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Austria,27.162981,30.731388,30.892298,39.209934,35.941795,36.492153,34.64073,31.290783,30.832558,28.741884,33.662636,34.228294,25.229424,21.766071,18.440292,22.9686,21.2579,23.908186,22.59162,22.704765,19.727694,20.890821,21.945526,15.5167265
Belgium,40.560455,39.679512,40.079067,41.869095,41.12893,41.087933,40.472763,40.42161,39.814594,41.33244,41.42565,36.63566,37.676357,33.66687,35.519665,40.742363,31.487192,32.001408,38.048187,32.053078,34.435886,26.491598,27.629063,26.383495
Brazil,8.775399,11.365089,10.256855,9.168747,10.968025,10.427469,9.967814,8.999214,12.668941,8.172983,12.382707,9.861591,14.533937,20.468441,24.116503,23.257975,16.792482,18.081858,15.036831,16.067453,14.598575,20.397495,10.480382,9.2837715
Bulgaria,48.731216,51.197056,46.910645,52.057713,51.74081,47.710186,47.799297,59.08454,57.968082,55.23517,54.256477,59.567654,54.735256,50.999535,50.426258,50.461918,48.75365,51.65031,45.15158,44.99085,39.960144,43.24439,48.16806,33.68342
China,82.126,79.8621,80.86227,82.69531,81.486946,81.7035,82.49794,82.8483,79.018295,80.2285,79.532036,81.337234,77.98754,77.81752,75.45151,73.08421,71.69534,71.00193,70.272415,68.504135,67.205086,66.53219,65.10256,64.72405
Croatia,42.46209,43.686275,53.90071,58.51064,44.989185,45.900383,48.489544,62.20096,54.3036,43.970036,37.119675,52.98308,50.23652,33.42898,25.986597,33.096085,33.65079,39.50722,27.662722,33.9921,35.37415,30.311052,36.16573,31.01004
Cyprus,100,100,100,100,100,100,100,100,99.80276,99.42419,98.49906,96.544716,94.49153,92.30769,92.85715,91.18943,91.20654,91.40001,90.51383,89.90291,87.62887,84.765625,83.26996,79.777374
Czechia,78.23045,76.66397,71.4079,66.49354,65.30612,65.99536,64.65455,66.28689,63.65274,60.962765,60.20887,59.00277,55.659504,53.381443,53.518475,56.055283,59.158535,55.725277,54.686783,52.9748,49.588017,50.549843,50.08359,45.221844
Denmark,84.46304,84.41662,82.63428,82.445076,76.31709,72.838135,79.77553,73.68421,72.3136,72.22069,67.92258,59.64113,51.455677,53.886158,43.851433,34.22516,39.50658,29.44984,31.314135,21.450459,17.949615,20.71689,18.572657,12.399643
Egypt,80.55101,81.92294,83.53241,85.6492,86.43257,87.469025,88.00824,87.58552,87.554344,88.969986,90.0367,90.1578,90.86834,91.004364,91.380516,91.415054,91.58829,91.97764,91.74482,89.75369,87.62336,88.19938,88.06572,88.21276
Estonia,99.88249,99.764435,99.6483,99.507866,99.41804,98.92157,98.66394,98.85057,98.10964,93.84966,91.904396,90.84561,87.70903,90.73795,88.83534,84.63055,86.93509,85.866264,83.91269,71.879105,51.151318,60.083454,68.31461,55.709877
Ethiopia,1.1834319,0.98039216,0.97087383,0.8583691,0.77821016,0.3472222,0.6042296,1.1661807,0.3003003,1.6574587,0.99800396,0.78864354,0.26420078,0.115340255,0,0,0,0,0,0.066357,0.06317119,0.06435006,0.064850844,0.06412403133
Finland,34.457623,40.483547,43.766685,50.415283,43.674282,33.77268,44.865715,41.18517,34.414997,37.232864,41.741074,35.55102,26.785967,30.900925,26.784142,21.614925,22.021818,20.09775,21.78556,18.743624,14.471405,14.325336,11.367747,5.5861726
France,9.307872,8.37265,9.395182,10.121081,9.825181,11.004322,9.906575,10.289406,9.735793,9.63942,10.164308,10.399704,10.028542,9.300551,6.315008,7.81035,10.128848,11.759103,8.591322,9.48509,9.174539,8.868974,12.894428,8.422322
