,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Country Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Austria,24487.29747,24430.49598,26334.86222,32110.11597,36614.25065,38157.37023,40382.20783,46622.96229,51581.39824,47857.44466,46611.13934,51116.89535,48250.40591,50305.35458,51314.97226,43915.22802,45061.49939,47163.74258,51194.07498,49885.99474,48716.40989,53648.71907,52176.66491,56033.57379
Belgium,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44923.34001,44197.39367,47760.82988,44874.17092,46964.59468,47995.7787,40893.80454,41854.54983,44035.32394,47487.21004,46716.62275,45906.28758,51655.78833,50807.20471,54700.90932
Brazil,3766.548115,3176.289357,2855.940189,3090.60701,3663.823188,4827.781731,5934.144711,7409.691307,8908.331766,8678.659225,11403.28213,13396.62436,12521.72135,12458.89121,12274.99397,8936.196618,8836.286526,10080.50928,9300.661649,9029.833267,7074.193783,7972.53665,9281.333344,10294.86668
Bulgaria,1621.262107,1770.907049,2092.982886,2719.494369,3389.687434,3899.825963,4523.146558,5888.776852,7271.303389,6988.273163,6863.667068,7857.16707,7430.73738,7687.713682,7912.274844,7078.860323,7570.931655,8381.881346,9436.144799,9838.60059,10198.53883,12274.0776,13644.20158,15885.53913
China,959.3604314,1053.112314,1148.514257,1288.637491,1508.667916,1753.414192,2099.21943,2693.958732,3468.327063,3832.227457,4550.473944,5614.386022,6300.58218,7020.386074,7636.07434,8016.445595,8094.390167,8817.045608,9905.406383,10143.86022,10408.71955,12617.5051,12662.58267,12614.06174
Croatia,4953.651588,5364.838247,6219.581641,8190.111352,9718.973228,10443.52784,11502.75312,13757.60565,15889.43471,14475.96329,13731.28652,14694.99932,13508.6837,14136.39677,14187.96945,12285.30326,12821.17381,13902.63105,15460.41833,15563.81674,14808.46202,17789.93047,18466.09555,21865.45628
Cyprus,14388.35254,14821.44922,16093.21582,20252.24609,23792.61914,24959.26172,26729.28125,31244.87891,35397.29688,32236.44922,31105.02734,32485.79688,28991.93555,27797.45703,27244.35156,23487.22852,24715.1543,26696.99023,29599.98633,29703.05273,28649.01563,33734.29297,33938.94531,36551.41797
Czechia,6062.921528,6669.074948,8101.260186,9852.456779,11782.55467,13442.49163,15259.07882,18452.65328,22774.70451,19817.42158,20160.43551,22049.10808,20014.0354,20260.4955,20038.41632,17931.59877,18753.96867,20913.19763,23705.93298,24062.719,23472.89155,27696.46195,28282.22367,31591.17707
Denmark,30722.02518,30768.47755,33257.16226,40519.09749,46625.0501,48925.80767,52119.1788,58631.65664,64616.66576,58412.74724,58104.54456,61809.7379,58443.77471,61377.59406,62520.45097,53094.01336,54500.92604,57521.5515,61324.7665,59404.26632,60985.48856,69727.98737,68091.31911,68453.87693
Egypt,1366.092744,1295.137418,1116.828846,1031.275563,991.2556891,1104.803407,1298.979002,1547.741707,1896.215943,2161.639646,2455.081946,2590.643849,2996.067707,3025.525636,3133.391023,3306.981594,3270.628777,2395.103333,2484.703156,2962.98892,3511.11381,3827.354154,4233.307837,3457.456916
Estonia,4070.609024,4502.66615,5343.183108,7205.407033,8916.072827,10414.63812,12641.4801,16745.4308,18205.90641,14712.44942,14663.7041,17555.54552,17568.2138,19310.38749,20581.7899,17722.15577,18666.37365,20851.52235,23618.13613,24021.25014,23933.99394,27953.76702,28451.14778,30133.30445
Ethiopia,122.2692026,118.4572043,109.5938136,116.8004911,133.1698125,158.2434581,189.3457375,237.146256,316.4104751,368.5747123,330.6194128,343.0249424,452.1010319,484.0398331,549.9865771,621.8456738,696.1958847,745.6324492,747.9681436,828.7089723,905.3131758,910.9478403,1011.073286,1272.016282
Finland,24335.92251,24965.203,26989.38926,32920.08572,37768.13342,39049.87038,41214.01878,48473.02401,53769.47262,47478.34953,46506.2919,51060.32426,47551.67408,49691.01452,50073.77608,42560.34568,43451.25624,46085.01747,49654.2497,48358.18078,48828.68469,53099.13514,50438.4754,52925.68976
France,22340.59395,22331.79483,24144.5727,29479.52221,33644.92822,34696.37183,36431.56589,41486.19078,45464.81814,41728.08842,40694.82117,43929.78409,40863.58144,42669.17951,43148.04593,36702.43237,37024.21571,38687.16264,41418.17665,40408.28486,39169.8606,43725.09995,41082.81193,44690.93454
Germany,23925.85599,23878.36415,25486.5942,30711.10225,34566.73591,35084.43635,36980.33499,42350.92172,46386.32959,42487.21371,42409.9357,47646.58204,44735.58823,47220.01021,48971.08247,41911.01099,42961.03569,45526.59996,48874.8595,47623.86561,47379.76519,52265.65416,49686.11546,54343.22651
Greece,11638.20107,12156.95728,13782.19564,18020.61204,21449.25528,22054.13158,24416.0233,28440.76253,31695.83311,29425.45732,26653.0488,25504.78665,21624.34605,21573.34498,21474.72571,17980.72982,17919.24264,18631.99301,19873.40152,19335.3602,17886.73317,20654.7002,20971.83493,23400.72788
Hungary,4624.281657,5276.033189,6655.333009,8419.430871,10301.70339,11223.3993,11489.56087,13940.90928,15772.33008,13077.30547,13217.5046,14234.47158,12984.83657,13715.07036,14294.25842,12717.0386,13104.69955,14621.2396,16425.20503,16786.21364,16131.95404,18755.10235,18353.29836,22141.86698
India,442.7502189,450.3579005,469.149929,544.1431335,624.2588265,710.4880804,801.6683537,1021.887077,992.5195849,1094.949746,1347.519391,1445.461275,1429.321995,1432.843975,1553.883961,1583.998159,1707.508929,1950.104683,1966.254552,2041.428637,1907.042516,2239.613844,2352.613925,2480.792087
Iran,1650.013858,1881.022666,1891.257561,2208.996366,2672.422665,3132.050819,3618.916014,4687.991663,5377.411507,5415.522806,6291.194437,8025.687434,8114.080998,6222.741948,5672.063729,4952.733555,5477.037124,5753.115447,4631.78709,3831.278948,2988.781224,4334.792686,4405.092915,4465.63767
Ireland,26334.56721,28282.40988,32705.43456,41203.52958,47754.20232,50933.02161,54329.16186,61396.41746,61353.10656,52133.09092,48679.40268,52692.78131,49411.73875,52619.21237,57278.25909,64311.82347,64292.65997,72499.32687,81248.31354,82508.46599,87567.1149,105561.1375,106194.7559,103887.8004
Italy,20190.00356,20571.47877,22463.52221,27618.94177,31425.82087,32171.79337,33684.72004,38031.97095,41095.40634,37388.45371,36184.71187,38851.38813,35235.79891,35747.70795,35750.71975,30387.12932,31126.32469,32554.14668,34746.34414,33812.78872,32091.48666,36852.54254,35635.74422,39003.3161
Latvia,3278.178964,3504.618295,4003.609358,4914.579928,6109.732652,7283.787381,9211.737447,13370.97895,15677.60809,11996.03227,11188.41917,12902.57405,13329.34999,14484.47153,15185.81458,13321.97531,13838.52668,15132.49583,17252.17104,17294.97516,17564.23215,20262.84339,20229.46136,22502.84299
Lithuania,3300.636349,3532.527874,4148.130915,5507.474342,6734.574871,7857.031488,9210.101182,12295.12128,14955.53455,11854.37111,11829.12261,14261.84338,14294.71786,15655.35133,16473.56782,14300.25537,14981.62081,16884.71003,19368.5391,19727.76075,20541.82499,23934.72849,25085.78406,27786.00578
Luxembourg,48659.59888,48440.14202,53005.73392,65689.32145,76544.91709,80988.13762,90788.80049,107475.3203,120422.1379,109419.747,110885.9914,119025.0572,112584.6763,120000.1407,123678.7021,105462.0126,106899.2935,110193.2138,116786.5117,112726.4397,116905.3704,133711.7944,125006.0218,128678.1899
Malta,10348.48655,10357.70404,11251.20609,13593.9742,15212.12674,15831.34405,16653.60718,19444.1875,22315.31986,21176.31124,21946.60697,23516.96912,22878.31309,25346.52365,27356.60803,25481.89776,26409.62859,30259.39526,33332.19056,32412.26978,31796.82134,38027.38017,36142.20585,40395.76921
