,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Country Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Austria,196181599831,196477206829,212837224023,260779834340,299210411455,313952317331,333905979332,386760177589,429234399096,399290118782,389827789218,428954737064,406750487604,426580502769,438556021078,379546097301,393687359770,414926138133,452582294973,442983642372,434397601558,480467037339,471773629830,511685203845
Belgium,236792460312,236746141604,258383599375,318082528507,369214712443,385714762230,408259840869,470922156309,517328087920,485014525992,481556503720,527196649049,498414364945,524097026599,537987419164,461044767545,474271566740,500908767352,542638913428,536726344405,529694473502,598494036474,593438820508,644782756683
Brazil,655448231984,559983634799,509795273807,558233745652,669289424806,891633839853,1107626541711,1397114486471,1695855083552,1666996438681,2208837745214,2616156223977,2465227803012,2472819535743,2456043727199,1802212206905,1795693482653,2063514977334,1916933898038,1873288205186,1476107231194,1670647399035,1951923942083,2173665655937
Bulgaria,13245990274,14183446026,16403043850,21144957990,26157743369,29868657858,34380536496,44432811756,54480684188,52023801230,50760929303,57737040780,54288135059,55852123990,57157782910,50811995689,53964253212,59309748166,66289266349,68631726289,70716821235,84417951261,90642851836,102407653021
China,1211331651866,1339400897105,1470557654800,1660280543847,1955346768721,2285961149880,2752118657184,3550327802998,4594336785738,5101691124285,6087191746679,7551545703441,8532185381681,9570471111832,10475624944355,11061572618579,11233313730349,12310491333981,13894907857881,14279968506272,14687744162801,17820459508852,17881782683707,17794783039552
Croatia,22134411297,23066883850,26757722429,35245317002,41836292157,45013119282,49590197657,59298265770,68478776206,62321642125,58981738869,62903737380,57551963753,59852401272,59612144078,51005200670,52654855638,56186190438,61668130123,61467582194,57963370885,69006802299,71198635102,84393795502
Cyprus,9985847314,10397898907,11420228846,14547329558,17320551250,18433412511,20072754987,23968727074,27844646258,26048179949,25799940078,27641547910,25047436975,23959712861,23225918260,19909278417,21046462281,22946570629,25754001368,26196667100,25555093854,30372874320,30976176887,33886930712
Czechia,62175642238,68135304464,82607869610,100435924705,120147899984,137264185596,156236258387,190040702287,236506264754,206971882705,211168667286,231429378717,210363223088,213024360541,210911285078,189107698562,198160659304,221563575696,251992360762,256794209029,251109660603,290972714482,301831228326,343207874554
Denmark,164043817224,164881594415,178788209558,218421193436,251986155631,265150087712,283386151544,320213157595,354979471960,322619152195,322345594075,344315595263,326792574245,344631016965,352832602064,301758922338,312181849372,331610593962,355293374912,345401473013,355631021932,408378204640,401945576108,407091920305
Egypt,99838543960,96684636119,85146067416,80288461538,78782467532,89600665557,107426086957,130437828371,162818181818,189147005445,218983666062,235989672978,279116666667,288434108527,305595408895,329366576819,332441717791,248362771739,262588632527,318678815490,383817841547,424671765456,476747720365,396002496997
Estonia,5686579748,6250218423,7370119619,9876595528,12148595031,14109491357,17025671810,22450264166,24342935404,19633984440,19524355419,23303915795,23237406116,25451032781,27055689003,23311847751,24561027788,27469461919,31222632741,31873748770,31820771494,37204563051,38376046175,41291245222
Ethiopia,8242349618,8231326016,7850809498,8623691300,10131187261,12401139454,15280861835,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648276605,55612228234,64589328551,74296745208,81770886826,84269196626,95912607722,107657734392,111261882958,126772703048,163697927594
Finland,125967821111,129519672869,140360963812,171612867736,197458297640,204859368791,217044068234,256360251538,285698662071,253480783439,249429613683,275126915516,257443384493,270268036626,273478528955,233210733506,238777818793,253846138440,273869255596,267014821129,270000311606,294223210496,280241515774,295532341255
France,1360959069477,1370376677299,1492427756382,1835095983049,2109792297237,2192146403028,2317861544691,2655816911867,2926802941586,2700075882519,2646230027988,2870408553990,2683007095787,2816077607875,2861236112552,2442483452643,2470407619777,2588868323335,2781576320884,2722793515172,2647926055110,2966433692008,2796302210399,3051831611385
Germany,1966980701145,1966381496642,2102350798306,2534715518349,2852317768062,2893393187362,3046308753671,3484056680855,3808786022313,3479800820863,3468154343000,3824828563521,3597896500945,3808086291482,3965800686310,3423568450957,3537784107981,3763092263753,4052008447224,3957208055216,3940142541354,4348297440388,4163596357879,4525703903628
Greece,125760166225,132050474720,150253800086,196930509813,234979615898,242315668619,269073415334,314226996944,351121399546,326829054686,296417644404,283228079776,238841140018,236556279641,233911581521,194567373678,193097239006,200381103984,213298873494,207305649887,191362985555,218303801895,218880566444,243498333238
Hungary,47218405892,53749989092,67608919144,85285062818,104120820259,113211158293,115715618613,140186716681,158325614581,131069255621,132175349954,141942264554,128814279315,135684315698,141033843266,125174166987,128609822750,143112196040,160565642984,164020460332,157288955508,182109999478,177006128625,212388906459
India,468395521654,485440139204,514939140319,607700687237,709152728831,820383763511,940259888788,1216736438835,1198895139006,1341888016995,1675615519485,1823051829895,1827637590410,1856721507622,2039126479155,2103588360045,2294796885663,2651474262755,2702929641649,2835606256558,2674851578587,3167270623260,3353470496886,3567551674623
Iran,109591707801,126878750296,128626917504,151911222120,187754571247,224970371329,265602187406,349736591836,406070949551,414059094950,487069570461,629082257472,644019315004,500399839840,462284793281,409191686497,459042684193,489168731811,398880231367,333519146339,262186179356,383436202447,394362621793,404625655205
Ireland,100207610430,109346669230,128596035288,164670771260,194372115041,211876989656,232180617162,270079279420,275447471451,236443117248,221985621538,241337364610,227270922957,243301556085,266787238499,302391428540,305733136181,348532394024,395461216460,407124824065,436555518400,531306516908,548570250342,551394889340
Italy,1149661363439,1172041488806,1281746271196,1582930016539,1812808753295,1864982261287,1958563654386,2222524108128,2417508414187,2209484319013,2144936254535,2306974020278,2097929495122,2153225581941,2173255507986,1845428048839,1887111188177,1970720904585,2099435266459,2019606796584,1907481094079,2179207773596,2102995942720,2300941152992
Latvia,7761252607,8190888740,9249030241,11244337720,13827070379,16306935905,20434922247,29420499248,34135200994,25691530442,23468324572,26575547901,27116149949,29152128168,30277203767,26344565877,27117105060,29391059767,33247935477,33099503951,33379927435,38185125733,38018905782,42247850065
Lithuania,11550695727,12260761329,14282292665,18809197970,22743164431,26105207115,30116192747,39729151615,47831254208,37494380039,36638128534,43186501863,42709372067,46303660422,48306546657,41540954817,42970749245,47756764508,54261795149,55122066226,57412038533,67037321009,71033884500,79789877416
Luxembourg,21230182989,21387533703,23649833332,29667268248,35064843793,37672280120,42910146296,51587401416,58844277702,54467289898,56213985987,61696281326,59776383527,65203276467,68804811898,60071584216,62216885436,65712180343,71000359760,69890505324,73699366700,85584105994,81641807866,85755006124
Malta,4036810072,4070867702,4455128823,5418313424,6104139673,6393234994,6749840218,7908417717,9135423330,8734741332,9097044161,9789361704,9609532089,10796782638,11888032872,11340795042,12025782834,14161366724,16153779511,16337793531,16385919536,19718565605,19209979975,22328640242
Netherlands,417649282154,432536219669,475529972123,582435617082,661224886143,688133699636,737593995289,853499460873,957901566041,878954223140,852464982433,913140741333,845689017066,883951539007,901556501756,775743675303,797163949290,848233537846,929733599797,928903005576,932560861701,1054472123450,1046540797549,1154361305398
Poland,172953527033,191823200371,199694463256,218561225998,256268656145,306999913151,345897630736,429715132138,535612030672,440891472247,478111630684,527848543023,498148649703,518179836405,542134167179,480054118583,473259583970,528356676667,594616687350,602683770145,605914237904,689170230665,695607470875,809200697797
Portugal,118605192877,121604107165,134795565549,165226175537,189382122532,197253876705,208756449276,240496147317,263416394624,244667762836,238443864993,245426767676,216536676772,226677408292,230078616300,199038523120,206305431242,220862990767,242092894543,240115970063,229618773423,256055879091,256898675069,289114289664
Romania,37253739511,40395116581,46065502703,57806384143,74973656852,98454380120,122023735993,174588782939,214315932061,174110532659,170064350672,192623977894,179117323107,189798603751,199722319676,177885131240,185290759249,210147385855,243468683030,251677082534,252033792712,286578196368,296354358293,350775856415
Russia,259710142197,306602070621,345470494418,430347420185,591016690732,764015973481,989932071353,1299703478482,1660848058303,1222645900056,1524916715224,2045922753398,2208293553878,2292470078346,2059241589895,1363482182198,1276786350881,1574199360089,1657328773461,1693115002708,1493075894362,1843392293734,2266029240645,2021421476035
Slovakia,29215726005,30726659551,35243658399,46616149117,57215475076,62547753148,70751813443,86587749518,100830060553,89342984698,91112160801,99705104723,94724394278,99134277850,101713075599,89178548717,90347173229,95978130735,106611673365,105843498304,107732602896,120592216208,115928615553,132908336234
