,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Country Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Austria,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761
Belgium,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11680210,11787423
Brazil,174018282,176301203,178503484,180622688,182675143,184688101,186653106,188552320,190367302,192079951,193701929,195284734,196876111,198478299,200085127,201675532,203218114,204703445,206107261,207455459,208660842,209550294,210306415,211140729
Bulgaria,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743,6643324,6446596
China,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000
Croatia,4468302,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4260368,4233922,4201598,4151725,4106867,4041407,3988775,3949390,3914206,3878981,3855641,3859686
Cyprus,947667,964127,981440,999590,1017875,1036151,1054418,1072714,1091026,1109371,1127816,1146493,1165397,1183895,1201801,1219502,1237112,1254275,1270737,1286671,1302247,1317309,1331370,1344976
Czechia,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10672118,10864042
Denmark,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037,5946952
Egypt,73083284,74652029,76239137,77853548,79477443,81101004,82700403,84276225,85864789,87501636,89196072,91093059,93161001,95333553,97528654,99597342,101644589,103696057,105682094,107553158,109315124,110957008,112618250,114535772
Estonia,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932,1348840,1370286
Ethiopia,67411494,69487762,71635517,73832663,76077206,78367470,80703490,83103217,85543668,88007636,90538514,93149970,95798767,98438751,101115610,103867135,106718162,109666481,112664152,115737383,118917671,122138588,125384287,128691692
Finland,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106,5583911
France,60918661,61364377,61812142,62249855,62707588,63180854,63622342,64016890,64375116,64706436,65026211,65340830,65657659,65997932,66312067,66548272,66724104,66918020,67158348,67382061,67601110,67842811,68065015,68287487
Germany,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985,83280000
Greece,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10436882,10405588
Hungary,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709891,9644377,9592186
India,1057922733,1077898575,1097600380,1116803006,1135991513,1154676322,1172878890,1190676021,1207930964,1225524753,1243481564,1261224954,1278674502,1295829511,1312277191,1328024498,1343944296,1359657400,1374659064,1389030312,1402617695,1414203896,1425423212,1438069596
Iran,66418659,67452005,68011317,68769340,70256316,71828455,73392747,74602648,75514204,76457825,77420842,78383598,79370580,80414686,81502045,82619362,83812228,85026754,86117998,87051648,87723443,88455488,89524246,90608707
Ireland,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985382,5033164,5165700,5307600
